Time,Time,Time (Hour),Load_kW,kWh,Total Energy Consumption (kWh),,,Missing data rows,,"0,612257",,,,,,,,,"graphs are not properly seen online, for a better view download the exc file",,,,,,,,,
01/01/2018 00:00:00,1/1/2018,12:00:00 a. m.,"0,67","0,1675","3294,995",,,33602,,"0,67",,,,,,,,,,,,,,,,,,
01/01/2018 00:15:00,1/1/2018,12:15:00 a. m.,"0,69","0,1725",,,,…,,"0,67",,,,,,,,,,,,Monthly Average Load,,,,,,
01/01/2018 00:30:00,1/1/2018,12:30:00 a. m.,"0,2","0,05",,,,35041,,Summer,,,,,Winter,,,,,,January,"0,468",,,,,,
01/01/2018 00:45:00,1/1/2018,12:45:00 a. m.,"0,17","0,0425",,,,,,Time,Total Load,Counter,Daily Average Load ,,Time,Total Load,Counter,Daily Average Load ,,,February,"0,433",,,,,,
01/01/2018 01:00:00,1/1/2018,1:00:00 a. m.,"0,2","0,05",,,,,,12:00:00 a. m.,"103,67",168,"0,6170833333",,12:00:00 a. m.,"118,5",182,"0,6513186813",,,March,"0,445",,,,,,
01/01/2018 01:15:00,1/1/2018,1:15:00 a. m.,"0,14","0,035",,,,,,12:15:00 a. m.,"104,22",168,"0,6203571429",,12:15:00 a. m.,"123,5",182,"0,6787912088",,,April,"0,468",,,,,,
01/01/2018 01:30:00,1/1/2018,1:30:00 a. m.,"0,13","0,0325",,,,,,12:30:00 a. m.,"97,58",168,"0,5808333333",,12:30:00 a. m.,"123,3",182,"0,6772527473",,,May,"0,468",,,,,,
01/01/2018 01:45:00,1/1/2018,1:45:00 a. m.,"0,06","0,015",,,,,,12:45:00 a. m.,"74,34",168,"0,4425",,12:45:00 a. m.,"94,8",182,"0,5209340659",,,June,"0,468",,,,,,P=I*A*eff
01/01/2018 02:00:00,1/1/2018,2:00:00 a. m.,"0,13","0,0325",,,,,,1:00:00 a. m.,"55,83",168,"0,3323214286",,1:00:00 a. m.,"70,5",182,"0,3875824176",,,July,"0,468",,,,,,
01/01/2018 02:15:00,1/1/2018,2:15:00 a. m.,"0,03","0,0075",,,,,,1:15:00 a. m.,"40,38",168,"0,2403571429",,1:15:00 a. m.,"53,4",182,"0,2932417582",,,August,"0,468",,,,,Panel Efficiency,
01/01/2018 02:30:00,1/1/2018,2:30:00 a. m.,"0,04","0,01",,,,,,1:30:00 a. m.,"27,53",168,"0,1638690476",,1:30:00 a. m.,"32,3",182,"0,1775824176",,,September,"0,468",,,,,"0,15",
01/01/2018 02:45:00,1/1/2018,2:45:00 a. m.,"0,11","0,0275",,,,,,1:45:00 a. m.,"22,49",168,"0,1338690476",,1:45:00 a. m.,"24,6",182,"0,1352747253",,,October,"0,468",,Yearly Average Load (kW),Energy Consumption (kwh),,Irradiance at the module (W/m2),
01/01/2018 03:00:00,1/1/2018,3:00:00 a. m.,"0,23","0,0575",,,,,,2:00:00 a. m.,"22,08",168,"0,1314285714",,2:00:00 a. m.,"24,8",182,"0,1364835165",,,November,"0,468",,"0,3922613095","3436,209071",,"0,178",
01/01/2018 03:15:00,1/1/2018,3:15:00 a. m.,"0,15","0,0375",,,,,,2:15:00 a. m.,"23,31",168,"0,13875",,2:15:00 a. m.,"26,9",182,"0,1478021978",,,December,"0,468",,,,,,
01/01/2018 03:30:00,1/1/2018,3:30:00 a. m.,"0,14","0,035",,,,,,2:30:00 a. m.,"23,09",168,"0,1374404762",,2:30:00 a. m.,"25,8",182,"0,1417582418",,,,,Solar Panel (kW),Energy Production per Module per Year,Number of Modules needed,,,
01/01/2018 03:45:00,1/1/2018,3:45:00 a. m.,"0,14","0,035",,,,,,2:45:00 a. m.,"22,47",168,"0,13375",,2:45:00 a. m.,"23,9",182,"0,1314285714",,,,,"0,24",438,8,,Area needed to provide enough power,
01/01/2018 04:00:00,1/1/2018,4:00:00 a. m.,"0,14","0,035",,,,,,3:00:00 a. m.,"23,22",168,"0,1382142857",,3:00:00 a. m.,"24,9",182,"0,136978022",,,,,"0,3","547,5",7,,"14,69143481",m2
01/01/2018 04:15:00,1/1/2018,4:15:00 a. m.,"0,07","0,0175",,,,,,3:15:00 a. m.,"26,72",168,"0,159047619",,3:15:00 a. m.,"33,2",182,"0,1823076923",,,,,"0,35","638,75",6,,Area from a panel,
01/01/2018 04:30:00,1/1/2018,4:30:00 a. m.,"0,04","0,01",,,,,,3:30:00 a. m.,23,168,"0,1369047619",,3:30:00 a. m.,"26,8",182,"0,1474725275",,,,,"0,425","775,625",5,,"2,5",m2
01/01/2018 04:45:00,1/1/2018,4:45:00 a. m.,"0,09","0,0225",,,,,,3:45:00 a. m.,"22,15",168,"0,1318452381",,3:45:00 a. m.,"25,3",182,"0,139010989",,,,,Assuming that a panel produces 5 hours a day,,,,Modules to cover the area,
01/01/2018 05:00:00,1/1/2018,5:00:00 a. m.,"0,27","0,0675",,,,,,4:00:00 a. m.,"23,89",168,"0,142202381",,4:00:00 a. m.,"27,5",182,"0,1512637363",,,,,,,,,"5,876573925",
01/01/2018 05:15:00,1/1/2018,5:15:00 a. m.,"0,22","0,055",,,,,,4:15:00 a. m.,"23,12",168,"0,1376190476",,4:15:00 a. m.,"24,9",182,"0,136978022",,,,,,,,,,
01/01/2018 05:30:00,1/1/2018,5:30:00 a. m.,"0,14","0,035",,,,,,4:30:00 a. m.,"22,04",168,"0,1311904762",,4:30:00 a. m.,"23,4",182,"0,1282967033",,,,,,,,,,
01/01/2018 05:45:00,1/1/2018,5:45:00 a. m.,"0,13","0,0325",,,,,,4:45:00 a. m.,"21,9",168,"0,1303571429",,4:45:00 a. m.,"23,8",182,"0,1309340659",,,,Summer days from 21st of march until 4 of september,,Winter day from 4 of september until 21st of march,,,,
01/01/2018 06:00:00,1/1/2018,6:00:00 a. m.,"0,14","0,035",,,,,,5:00:00 a. m.,"23,19",168,"0,1380357143",,5:00:00 a. m.,"26,2",182,"0,143956044",,,,,,,,,,
01/01/2018 06:15:00,1/1/2018,6:15:00 a. m.,"0,18","0,045",,,,,,5:15:00 a. m.,"26,51",168,"0,157797619",,5:15:00 a. m.,"30,0",182,"0,1647252747",,,,,,,,,,
01/01/2018 06:30:00,1/1/2018,6:30:00 a. m.,"0,05","0,0125",,,,,,5:30:00 a. m.,"24,51",168,"0,1458928571",,5:30:00 a. m.,"26,0",182,"0,1425824176",,,,,,,,,,
01/01/2018 06:45:00,1/1/2018,6:45:00 a. m.,"0,04","0,01",,,,,,5:45:00 a. m.,"24,69",168,"0,1469642857",,5:45:00 a. m.,"26,7",182,"0,1467582418",,,,,,,,,,
01/01/2018 07:00:00,1/1/2018,7:00:00 a. m.,"0,03","0,0075",,,,,,6:00:00 a. m.,"24,88",168,"0,1480952381",,6:00:00 a. m.,"26,9",182,"0,1476373626",,,,,,,,,,
01/01/2018 07:15:00,1/1/2018,7:15:00 a. m.,"0,12","0,03",,,,,,6:15:00 a. m.,"23,87",168,"0,1420833333",,6:15:00 a. m.,"26,9",182,"0,1477472527",,,,,,,,,,
01/01/2018 07:30:00,1/1/2018,7:30:00 a. m.,"0,43","0,1075",,,,,,6:30:00 a. m.,"29,8",168,"0,1773809524",,6:30:00 a. m.,"34,8",182,"0,1911538462",,,,,,,,,,
01/01/2018 07:45:00,1/1/2018,7:45:00 a. m.,"0,83","0,2075",,,,,,6:45:00 a. m.,"26,18",168,"0,1558333333",,6:45:00 a. m.,"30,7",182,"0,1685164835",,,,,,,,,,
01/01/2018 08:00:00,1/1/2018,8:00:00 a. m.,"0,67","0,1675",,,,,,7:00:00 a. m.,"27,14",168,"0,161547619",,7:00:00 a. m.,"33,8",182,"0,1856043956",,,,,,,,,,
01/01/2018 08:15:00,1/1/2018,8:15:00 a. m.,"0,7","0,175",,,,,,7:15:00 a. m.,"26,85",168,"0,1598214286",,7:15:00 a. m.,"34,2",182,"0,1877472527",,,,,,,,,,
01/01/2018 08:30:00,1/1/2018,8:30:00 a. m.,"0,78","0,195",,,,,,7:30:00 a. m.,"27,82",168,"0,1655952381",,7:30:00 a. m.,"34,7",182,"0,1908791209",,,,,,,,,,
01/01/2018 08:45:00,1/1/2018,8:45:00 a. m.,"0,19","0,0475",,,,,,7:45:00 a. m.,"29,7",168,"0,1767857143",,7:45:00 a. m.,"38,3",182,"0,2102197802",,,,,,,,,,
01/01/2018 09:00:00,1/1/2018,9:00:00 a. m.,"0,25","0,0625",,,,,,8:00:00 a. m.,"32,51",168,"0,1935119048",,8:00:00 a. m.,"38,3",182,"0,2102747253",,,,,,,,,,
01/01/2018 09:15:00,1/1/2018,9:15:00 a. m.,"0,12","0,03",,,,,,8:15:00 a. m.,"41,24",168,"0,2454761905",,8:15:00 a. m.,"47,1",182,"0,2588461538",,,,,,,,,,
01/01/2018 09:30:00,1/1/2018,9:30:00 a. m.,"0,3","0,075",,,,,,8:30:00 a. m.,"67,64",168,"0,4026190476",,8:30:00 a. m.,"81,0",182,"0,4451648352",,,,,,,,,,
01/01/2018 09:45:00,1/1/2018,9:45:00 a. m.,"0,55","0,1375",,,,,,8:45:00 a. m.,"93,22",168,"0,5548809524",,8:45:00 a. m.,"103,8",182,"0,5701098901",,,,,,,,,,
01/01/2018 10:00:00,1/1/2018,10:00:00 a. m.,"0,46","0,115",,,,,,9:00:00 a. m.,"107,17",168,"0,6379166667",,9:00:00 a. m.,"110,1",182,"0,6048351648",,,,,,,,,,
01/01/2018 10:15:00,1/1/2018,10:15:00 a. m.,"0,15","0,0375",,,,,,9:15:00 a. m.,"112,83",168,"0,6716071429",,9:15:00 a. m.,"109,7",182,"0,6026923077",,,,,,,,,,
01/01/2018 10:30:00,1/1/2018,10:30:00 a. m.,"0,2","0,05",,,,,,9:30:00 a. m.,"100,13",168,"0,5960119048",,9:30:00 a. m.,"103,9",182,"0,5706043956",,,,,,,,,,
01/01/2018 10:45:00,1/1/2018,10:45:00 a. m.,"0,41","0,1025",,,,,,9:45:00 a. m.,"86,74",168,"0,5163095238",,9:45:00 a. m.,"95,4",182,"0,5241758242",,,,,,,,,,
01/01/2018 11:00:00,1/1/2018,11:00:00 a. m.,"0,05","0,0125",,,,,,10:00:00 a. m.,"76,64",168,"0,4561904762",,10:00:00 a. m.,"93,7",182,"0,5146703297",,,,,,,,,,
01/01/2018 11:15:00,1/1/2018,11:15:00 a. m.,"0,04","0,01",,,,,,10:15:00 a. m.,"70,12",168,"0,4173809524",,10:15:00 a. m.,"86,6",182,"0,4755494505",,,,,,,,,,
01/01/2018 11:30:00,1/1/2018,11:30:00 a. m.,"0,03","0,0075",,,,,,10:30:00 a. m.,"59,99",168,"0,3570833333",,10:30:00 a. m.,"74,5",182,"0,4093956044",,,,,,,,,,
01/01/2018 11:45:00,1/1/2018,11:45:00 a. m.,"0,12","0,03",,,,,,10:45:00 a. m.,"56,44",168,"0,335952381",,10:45:00 a. m.,"67,6",182,"0,3712637363",,,,,,,,,,
01/01/2018 12:00:00,1/1/2018,12:00:00 p. m.,"0,11","0,0275",,,,,,11:00:00 a. m.,"61,81",168,"0,3679166667",,11:00:00 a. m.,"78,9",182,"0,4334065934",,,,,,,,,,
01/01/2018 12:15:00,1/1/2018,12:15:00 p. m.,"0,14","0,035",,,,,,11:15:00 a. m.,"57,21",168,"0,3405357143",,11:15:00 a. m.,"69,4",182,"0,3812087912",,,,,,,,,,
01/01/2018 12:30:00,1/1/2018,12:30:00 p. m.,"0,63","0,1575",,,,,,11:30:00 a. m.,"66,21",168,"0,3941071429",,11:30:00 a. m.,"76,5",182,"0,4203296703",,,,,,,,,,
01/01/2018 12:45:00,1/1/2018,12:45:00 p. m.,"1,08","0,27",,,,,,11:45:00 a. m.,"70,06",168,"0,4170238095",,11:45:00 a. m.,"84,5",182,"0,4641208791",,,,,,,,,,
01/01/2018 13:00:00,1/1/2018,1:00:00 p. m.,"0,63","0,1575",,,,,,12:00:00 p. m.,"82,34",168,"0,4901190476",,12:00:00 p. m.,"94,6",182,"0,5196703297",,,,,,,,,,
01/01/2018 13:15:00,1/1/2018,1:15:00 p. m.,"0,19","0,0475",,,,,,12:15:00 p. m.,"96,18",168,"0,5725",,12:15:00 p. m.,"115,5",182,"0,6348351648",,,,,,,,,,
01/01/2018 13:30:00,1/1/2018,1:30:00 p. m.,"0,18","0,045",,,,,,12:30:00 p. m.,"91,22",168,"0,5429761905",,12:30:00 p. m.,"97,1",182,"0,5336813187",,,,,,,,,,
01/01/2018 13:45:00,1/1/2018,1:45:00 p. m.,"0,28","0,07",,,,,,12:45:00 p. m.,"61,63",168,"0,3668452381",,12:45:00 p. m.,"66,9",182,"0,3675274725",,,,,,,,,,
01/01/2018 14:00:00,1/1/2018,2:00:00 p. m.,"0,13","0,0325",,,,,,1:00:00 p. m.,"45,25",168,"0,2693452381",,1:00:00 p. m.,"46,2",182,"0,2540659341",,,,,,,,,,
01/01/2018 14:15:00,1/1/2018,2:15:00 p. m.,"0,12","0,03",,,,,,1:15:00 p. m.,"45,66",168,"0,2717857143",,1:15:00 p. m.,"49,1",182,"0,2695604396",,,,,,,,,,
01/01/2018 14:30:00,1/1/2018,2:30:00 p. m.,"1,38","0,345",,,,,,1:30:00 p. m.,"51,67",168,"0,3075595238",,1:30:00 p. m.,"52,1",182,"0,2861538462",,,,,,,,,,
01/01/2018 14:45:00,1/1/2018,2:45:00 p. m.,"0,46","0,115",,,,,,1:45:00 p. m.,"45,9",168,"0,2732142857",,1:45:00 p. m.,"51,0",182,"0,2804395604",,,,,,,,,,
01/01/2018 15:00:00,1/1/2018,3:00:00 p. m.,"0,29","0,0725",,,,,,2:00:00 p. m.,"42,71",168,"0,2542261905",,2:00:00 p. m.,"49,2",182,"0,2702197802",,,,,,,,,,
01/01/2018 15:15:00,1/1/2018,3:15:00 p. m.,"0,39","0,0975",,,,,,2:15:00 p. m.,"55,6",168,"0,330952381",,2:15:00 p. m.,"65,2",182,"0,357967033",,,,,,,,,,
01/01/2018 15:30:00,1/1/2018,3:30:00 p. m.,"0,33","0,0825",,,,,,2:30:00 p. m.,"51,8",168,"0,3083333333",,2:30:00 p. m.,"57,7",182,"0,3167582418",,,,,,,,,,
01/01/2018 15:45:00,1/1/2018,3:45:00 p. m.,"0,35","0,0875",,,,,,2:45:00 p. m.,"52,25",168,"0,3110119048",,2:45:00 p. m.,"65,0",182,"0,3572527473",,,,,,,,,,
01/01/2018 16:00:00,1/1/2018,4:00:00 p. m.,"2,11","0,5275",,,,,,3:00:00 p. m.,"53,28",168,"0,3171428571",,3:00:00 p. m.,"65,4",182,"0,3592307692",,,,,,,,,,
01/01/2018 16:15:00,1/1/2018,4:15:00 p. m.,"1,55","0,3875",,,,,,3:15:00 p. m.,"51,02",168,"0,3036904762",,3:15:00 p. m.,"56,8",182,"0,312032967",,,,,,,,,,
01/01/2018 16:30:00,1/1/2018,4:30:00 p. m.,"1,06","0,265",,,,,,3:30:00 p. m.,"44,42",168,"0,2644047619",,3:30:00 p. m.,"52,1",182,"0,2864835165",,,,,,,,,,
01/01/2018 16:45:00,1/1/2018,4:45:00 p. m.,"0,33","0,0825",,,,,,3:45:00 p. m.,"48,43",168,"0,2882738095",,3:45:00 p. m.,"52,4",182,"0,2877472527",,,,,,,,,,
01/01/2018 17:00:00,1/1/2018,5:00:00 p. m.,"0,76","0,19",,,,,,4:00:00 p. m.,"43,53",168,"0,2591071429",,4:00:00 p. m.,"49,0",182,"0,2693956044",,,,,,,,,,
01/01/2018 17:15:00,1/1/2018,5:15:00 p. m.,"0,95","0,2375",,,,,,4:15:00 p. m.,"45,05",168,"0,2681547619",,4:15:00 p. m.,"52,4",182,"0,2880769231",,,,,,,,,,
01/01/2018 17:30:00,1/1/2018,5:30:00 p. m.,"0,82","0,205",,,,,,4:30:00 p. m.,"47,65",168,"0,2836309524",,4:30:00 p. m.,"56,3",182,"0,3091758242",,,,,,,,,,
01/01/2018 17:45:00,1/1/2018,5:45:00 p. m.,"0,68","0,17",,,,,,4:45:00 p. m.,"46,94",168,"0,2794047619",,4:45:00 p. m.,"57,0",182,"0,313021978",,,,,,,,,,
01/01/2018 18:00:00,1/1/2018,6:00:00 p. m.,"1,61","0,4025",,,,,,5:00:00 p. m.,"52,25",168,"0,3110119048",,5:00:00 p. m.,"60,5",182,"0,3326373626",,,,,,,,,,
01/01/2018 18:15:00,1/1/2018,6:15:00 p. m.,"1,58","0,395",,,,,,5:15:00 p. m.,"60,75",168,"0,3616071429",,5:15:00 p. m.,"74,0",182,"0,4067032967",,,,,,,,,,
01/01/2018 18:30:00,1/1/2018,6:30:00 p. m.,"0,9","0,225",,,,,,5:30:00 p. m.,"77,55",168,"0,4616071429",,5:30:00 p. m.,"106,9",182,"0,5871978022",,,,,,,,,,
01/01/2018 18:45:00,1/1/2018,6:45:00 p. m.,"0,65","0,1625",,,,,,5:45:00 p. m.,"106,47",168,"0,63375",,5:45:00 p. m.,"150,0",182,"0,823956044",,,,,,,,,,
01/01/2018 19:00:00,1/1/2018,7:00:00 p. m.,"0,71","0,1775",,,,,,6:00:00 p. m.,"127,1",168,"0,756547619",,6:00:00 p. m.,"173,7",182,"0,9545054945",,,,,,,,,,
01/01/2018 19:15:00,1/1/2018,7:15:00 p. m.,"0,63","0,1575",,,,,,6:15:00 p. m.,"144,67",168,"0,8611309524",,6:15:00 p. m.,"166,8",182,"0,9165934066",,,,,,,,,,
01/01/2018 19:30:00,1/1/2018,7:30:00 p. m.,"0,77","0,1925",,,,,,6:30:00 p. m.,"153,84",168,"0,9157142857",,6:30:00 p. m.,"190,9",182,"1,048736264",,,,,,,,,,
01/01/2018 19:45:00,1/1/2018,7:45:00 p. m.,"0,98","0,245",,,,,,6:45:00 p. m.,"154,44",168,"0,9192857143",,6:45:00 p. m.,"195,1",182,"1,072032967",,,,,,,,,,
01/01/2018 20:00:00,1/1/2018,8:00:00 p. m.,"0,83","0,2075",,,,,,7:00:00 p. m.,"130,87",168,"0,7789880952",,7:00:00 p. m.,"181,0",182,"0,9945054945",,,,,,,,,,
01/01/2018 20:15:00,1/1/2018,8:15:00 p. m.,"0,76","0,19",,,,,,7:15:00 p. m.,"110,41",168,"0,657202381",,7:15:00 p. m.,"155,8",182,"0,8559340659",,,,,,,,,,
01/01/2018 20:30:00,1/1/2018,8:30:00 p. m.,"0,8","0,2",,,,,,7:30:00 p. m.,"93,23",168,"0,5549404762",,7:30:00 p. m.,"127,5",182,"0,7007142857",,,,,,,,,,
01/01/2018 20:45:00,1/1/2018,8:45:00 p. m.,"0,79","0,1975",,,,,,7:45:00 p. m.,"104,12",168,"0,6197619048",,7:45:00 p. m.,"143,0",182,"0,7859340659",,,,,,,,,,
01/01/2018 21:00:00,1/1/2018,9:00:00 p. m.,"0,76","0,19",,,,,,8:00:00 p. m.,"110,91",168,"0,6601785714",,8:00:00 p. m.,"155,2",182,"0,8524725275",,,,,,,,,,
01/01/2018 21:15:00,1/1/2018,9:15:00 p. m.,"0,58","0,145",,,,,,8:15:00 p. m.,"106,96",168,"0,6366666667",,8:15:00 p. m.,"150,0",182,"0,8242857143",,,,,,,,,,
01/01/2018 21:30:00,1/1/2018,9:30:00 p. m.,"0,57","0,1425",,,,,,8:30:00 p. m.,106,168,"0,630952381",,8:30:00 p. m.,"145,0",182,"0,7967032967",,,,,,,,,,
01/01/2018 21:45:00,1/1/2018,9:45:00 p. m.,"0,66","0,165",,,,,,8:45:00 p. m.,"106,96",168,"0,6366666667",,8:45:00 p. m.,"143,0",182,"0,7856593407",,,,,,,,,,
01/01/2018 22:00:00,1/1/2018,10:00:00 p. m.,"0,59","0,1475",,,,,,9:00:00 p. m.,"99,11",168,"0,5899404762",,9:00:00 p. m.,"132,6",182,"0,7284065934",,,,,,,,,,
01/01/2018 22:15:00,1/1/2018,10:15:00 p. m.,"0,78","0,195",,,,,,9:15:00 p. m.,"100,18",168,"0,5963095238",,9:15:00 p. m.,"127,9",182,"0,7028021978",,,,,,,,,,
01/01/2018 22:30:00,1/1/2018,10:30:00 p. m.,"0,95","0,2375",,,,,,9:30:00 p. m.,"89,07",168,"0,5301785714",,9:30:00 p. m.,"112,1",182,"0,6157142857",,,,,,,,,,
01/01/2018 22:45:00,1/1/2018,10:45:00 p. m.,"0,96","0,24",,,,,,9:45:00 p. m.,"91,23",168,"0,5430357143",,9:45:00 p. m.,"111,9",182,"0,6148351648",,,,,,,,,,
01/01/2018 23:00:00,1/1/2018,11:00:00 p. m.,"0,7","0,175",,,,,,10:00:00 p. m.,"105,33",168,"0,6269642857",,10:00:00 p. m.,"127,6",182,"0,7012637363",,,,,,,,,,
01/01/2018 23:15:00,1/1/2018,11:15:00 p. m.,"0,66","0,165",,,,,,10:15:00 p. m.,"111,67",168,"0,664702381",,10:15:00 p. m.,"132,8",182,"0,7296153846",,,,,,,,,,
01/01/2018 23:30:00,1/1/2018,11:30:00 p. m.,"0,59","0,1475",,,,,,10:30:00 p. m.,"105,96",168,"0,6307142857",,10:30:00 p. m.,"126,4",182,"0,6943406593",,,,,,,,,,
01/01/2018 23:45:00,1/1/2018,11:45:00 p. m.,"0,64","0,16",,,,,,10:45:00 p. m.,"104,4",168,"0,6214285714",,10:45:00 p. m.,"121,3",182,"0,6667032967",,,,,,,,,,
02/01/2018 00:00:00,2/1/2018,12:00:00 a. m.,"0,58","0,145",,"0,612257",,,,11:00:00 p. m.,"103,5",168,"0,6160714286",,11:00:00 p. m.,"122,3",182,"0,6721428571",,,,,,,,,,
