time,local_time,electricity
2019-01-01 00:00,2019-01-01 01:00,0
2019-01-01 01:00,2019-01-01 02:00,0
2019-01-01 02:00,2019-01-01 03:00,0
2019-01-01 03:00,2019-01-01 04:00,0
2019-01-01 04:00,2019-01-01 05:00,0
2019-01-01 05:00,2019-01-01 06:00,0
2019-01-01 06:00,2019-01-01 07:00,0
2019-01-01 07:00,2019-01-01 08:00,0
2019-01-01 08:00,2019-01-01 09:00,102.878
2019-01-01 09:00,2019-01-01 10:00,401.726
2019-01-01 10:00,2019-01-01 11:00,519.539
2019-01-01 11:00,2019-01-01 12:00,332.161
2019-01-01 12:00,2019-01-01 13:00,168.277
2019-01-01 13:00,2019-01-01 14:00,61.408
2019-01-01 14:00,2019-01-01 15:00,9.16
2019-01-01 15:00,2019-01-01 16:00,0
2019-01-01 16:00,2019-01-01 17:00,0
2019-01-01 17:00,2019-01-01 18:00,0
2019-01-01 18:00,2019-01-01 19:00,0
2019-01-01 19:00,2019-01-01 20:00,0
2019-01-01 20:00,2019-01-01 21:00,0
2019-01-01 21:00,2019-01-01 22:00,0
2019-01-01 22:00,2019-01-01 23:00,0
2019-01-01 23:00,2019-01-02 00:00,0
2019-01-02 00:00,2019-01-02 01:00,0
2019-01-02 01:00,2019-01-02 02:00,0
2019-01-02 02:00,2019-01-02 03:00,0
2019-01-02 03:00,2019-01-02 04:00,0
2019-01-02 04:00,2019-01-02 05:00,0
2019-01-02 05:00,2019-01-02 06:00,0
2019-01-02 06:00,2019-01-02 07:00,0
2019-01-02 07:00,2019-01-02 08:00,0
2019-01-02 08:00,2019-01-02 09:00,541.363
2019-01-02 09:00,2019-01-02 10:00,1175.087
2019-01-02 10:00,2019-01-02 11:00,1324.076
2019-01-02 11:00,2019-01-02 12:00,1468.661
2019-01-02 12:00,2019-01-02 13:00,1341.665
2019-01-02 13:00,2019-01-02 14:00,1163.579
2019-01-02 14:00,2019-01-02 15:00,750.401
2019-01-02 15:00,2019-01-02 16:00,27.953
2019-01-02 16:00,2019-01-02 17:00,0
2019-01-02 17:00,2019-01-02 18:00,0
2019-01-02 18:00,2019-01-02 19:00,0
2019-01-02 19:00,2019-01-02 20:00,0
2019-01-02 20:00,2019-01-02 21:00,0
2019-01-02 21:00,2019-01-02 22:00,0
2019-01-02 22:00,2019-01-02 23:00,0
2019-01-02 23:00,2019-01-03 00:00,0
2019-01-03 00:00,2019-01-03 01:00,0
2019-01-03 01:00,2019-01-03 02:00,0
2019-01-03 02:00,2019-01-03 03:00,0
2019-01-03 03:00,2019-01-03 04:00,0
2019-01-03 04:00,2019-01-03 05:00,0
2019-01-03 05:00,2019-01-03 06:00,0
2019-01-03 06:00,2019-01-03 07:00,0
2019-01-03 07:00,2019-01-03 08:00,0
2019-01-03 08:00,2019-01-03 09:00,308.554
2019-01-03 09:00,2019-01-03 10:00,977.616
2019-01-03 10:00,2019-01-03 11:00,1462.495
2019-01-03 11:00,2019-01-03 12:00,1921.033
2019-01-03 12:00,2019-01-03 13:00,2074.385
2019-01-03 13:00,2019-01-03 14:00,1635.605
2019-01-03 14:00,2019-01-03 15:00,706.271
2019-01-03 15:00,2019-01-03 16:00,15.927
2019-01-03 16:00,2019-01-03 17:00,0
2019-01-03 17:00,2019-01-03 18:00,0
2019-01-03 18:00,2019-01-03 19:00,0
2019-01-03 19:00,2019-01-03 20:00,0
2019-01-03 20:00,2019-01-03 21:00,0
2019-01-03 21:00,2019-01-03 22:00,0
2019-01-03 22:00,2019-01-03 23:00,0
2019-01-03 23:00,2019-01-04 00:00,0
2019-01-04 00:00,2019-01-04 01:00,0
2019-01-04 01:00,2019-01-04 02:00,0
2019-01-04 02:00,2019-01-04 03:00,0
2019-01-04 03:00,2019-01-04 04:00,0
2019-01-04 04:00,2019-01-04 05:00,0
2019-01-04 05:00,2019-01-04 06:00,0
2019-01-04 06:00,2019-01-04 07:00,0
2019-01-04 07:00,2019-01-04 08:00,0
2019-01-04 08:00,2019-01-04 09:00,213.716
2019-01-04 09:00,2019-01-04 10:00,703.788
2019-01-04 10:00,2019-01-04 11:00,703.356
2019-01-04 11:00,2019-01-04 12:00,690.808
2019-01-04 12:00,2019-01-04 13:00,972.279
2019-01-04 13:00,2019-01-04 14:00,835.592
2019-01-04 14:00,2019-01-04 15:00,268.649
2019-01-04 15:00,2019-01-04 16:00,0
2019-01-04 16:00,2019-01-04 17:00,0
2019-01-04 17:00,2019-01-04 18:00,0
2019-01-04 18:00,2019-01-04 19:00,0
2019-01-04 19:00,2019-01-04 20:00,0
2019-01-04 20:00,2019-01-04 21:00,0
2019-01-04 21:00,2019-01-04 22:00,0
2019-01-04 22:00,2019-01-04 23:00,0
2019-01-04 23:00,2019-01-05 00:00,0
2019-01-05 00:00,2019-01-05 01:00,0
2019-01-05 01:00,2019-01-05 02:00,0
2019-01-05 02:00,2019-01-05 03:00,0
2019-01-05 03:00,2019-01-05 04:00,0
2019-01-05 04:00,2019-01-05 05:00,0
2019-01-05 05:00,2019-01-05 06:00,0
2019-01-05 06:00,2019-01-05 07:00,0
2019-01-05 07:00,2019-01-05 08:00,0
2019-01-05 08:00,2019-01-05 09:00,18.229
2019-01-05 09:00,2019-01-05 10:00,185.803
2019-01-05 10:00,2019-01-05 11:00,477.866
2019-01-05 11:00,2019-01-05 12:00,724.092
2019-01-05 12:00,2019-01-05 13:00,627.586
2019-01-05 13:00,2019-01-05 14:00,437.384
2019-01-05 14:00,2019-01-05 15:00,199.335
2019-01-05 15:00,2019-01-05 16:00,0
2019-01-05 16:00,2019-01-05 17:00,0
2019-01-05 17:00,2019-01-05 18:00,0
2019-01-05 18:00,2019-01-05 19:00,0
2019-01-05 19:00,2019-01-05 20:00,0
2019-01-05 20:00,2019-01-05 21:00,0
2019-01-05 21:00,2019-01-05 22:00,0
2019-01-05 22:00,2019-01-05 23:00,0
2019-01-05 23:00,2019-01-06 00:00,0
2019-01-06 00:00,2019-01-06 01:00,0
2019-01-06 01:00,2019-01-06 02:00,0
2019-01-06 02:00,2019-01-06 03:00,0
2019-01-06 03:00,2019-01-06 04:00,0
